Month_Year,Rainfall_mm
January 2022,0.4
February 2022,0.0
March 2022,2.0
April 2022,24.0
May 2022,
June 2022,151.4
July 2022,329.1
August 2022,276.7
September 2022,179.0
October 2022,148.9
November 2022,5.4
December 2022,22.8
January 2023,2.3
February 2023,0.0
March 2023,0.0
April 2023,11.6
May 2023,60.7
June 2023,48.3
July 2023,383.3
August 2023,53.0
September 2023,131.5
October 2023,81.6
November 2023,33.3
December 2023,0.2
January 2024,8.0
February 2024,0.0
March 2024,0.6
April 2024,12.3
May 2024,47.6
June 2024,262.0
July 2024,432.0
October 2024,141.7
November 2024,38.0
December 2024,
January 2025,0.0
February 2025,0.0
April 2025,23.3
May 2025,326.3
June 2025,186.1
July 2025,215.3
August 2025,267.1
September 2025,181.4
October 2025,136.5
November 2025,7.7
December 2025,0.9
January 2026,0.0
February 2026,0.0
March 2026,15.2
April 2026,83.8
May 2026,10.6
