,,,"District-wise Wholesale Prices Monthly Analysis for Wheat in Karnataka - November, 2024",,
District,"Prices November, 2024 (Rs./Quintal)","Prices October, 2024 (Rs./Quintal)","Prices November, 2023 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Bangalore,4250.0,3889.74,4123.43,9.3%,3.1%
Belgaum,3193.1,3035.84,-,5.2%,-
Bidar,3118.35,3243.53,3178.79,-3.9%,-1.9%
Bijapur,3489.74,3606.03,3307.95,-3.2%,5.5%
Chikmagalur,2600.0,2636.93,-,-1.4%,-
Davangere,2419.44,3437.02,-,-29.6%,-
Dharwad,2723.71,3464.25,2575.0,-21.4%,5.8%
Gadag,2886.71,3023.68,3118.53,-4.5%,-7.4%
Hassan,3175.0,3733.33,3278.0,-15.0%,-3.1%
Kolar,4100.0,3300.0,-,24.2%,-
Koppal,-,-,2600.0,-,-
Mysore,3704.23,4040.32,3645.87,-8.3%,1.6%
Raichur,-,2552.0,2407.27,-,-
Shimoga,2763.27,4000.0,3950.91,-30.9%,-30.1%
Tumkur,-,3595.0,-,-,-
Average,3201.96,3396.98,3218.57,-,-

Note:
Weighted Average Price = ∑(arrival quantity * modal price) / ∑arrival quantity
Change (Over Previous Month) = [Price - Price(Over Previous Month)/Price(Over Previous Month)] * 100
Change (Over Previous Year) = [Price - Price(Over Previous Year)/Price(Over Previous Year)] * 100

