,,,"District-wise Wholesale Prices Monthly Analysis for Wheat in Karnataka - December, 2023",,
District,"Prices December, 2023 (Rs./Quintal)","Prices November, 2023 (Rs./Quintal)","Prices December, 2022 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Bangalore,4073.66,4123.43,3753.89,-1.2%,8.5%
Belgaum,2722.78,-,-,-,-
Bidar,3012.58,3178.79,2675.22,-5.2%,12.6%
Bijapur,3157.84,3307.95,2738.64,-4.5%,15.3%
Dharwad,3775.67,2575.0,2961.25,46.6%,27.5%
Gadag,3245.0,3118.53,2940.8,4.1%,10.3%
Hassan,3000.0,3278.0,3140.62,-8.5%,-4.5%
Koppal,2600.0,2600.0,2109.0,-,23.3%
Mysore,3318.36,3645.87,3467.53,-9.0%,-4.3%
Raichur,-,2407.27,2597.5,-,-
Shimoga,4007.14,3950.91,3247.73,1.4%,23.4%
Tumkur,-,-,2900.0,-,-
Average,3291.3,3218.57,2957.47,-,-

Note:
Weighted Average Price = ∑(arrival quantity * modal price) / ∑arrival quantity
Change (Over Previous Month) = [Price - Price(Over Previous Month)/Price(Over Previous Month)] * 100
Change (Over Previous Year) = [Price - Price(Over Previous Year)/Price(Over Previous Year)] * 100

